author,title,description,content
Brendan Hesse,Google Maps Now Shows Nearby Takeout and Delivery Options,Ordering in or picking up dinner  Google Maps has been updated with two search filters that highlight nearby takeout and delivery options  The new search options are officially available on Android and iOS in the US  Canada and France  but users in other coun,Ordering in or picking up dinner  Google Maps has been updated with two search filters that highlight nearby takeout and delivery options  The new search options are officially available on Android and iOS in the US  Canada and France  but users in other coun  1283 chars 
Emily Price,Everything You Need to Know About Quibi,Quibi  a new streaming service from Jeffery Katzenberg  founder and CEO of Dreamworks  officially launched today  Unlike most streaming services that are meant to be watched on your television  Quibi is designed to be watched primarily on your mobile phone  R,Quibi  a new streaming service from Jeffery Katzenberg  founder and CEO of Dreamworks  officially launched today  Unlike most streaming services that are meant to be watched on your television  Quibi is designed to be watched primarily on your mobile phone   3399 chars 
Mariella Moon,Google debuts  Works With Chromebook  badge for accessories,If you ve ever bought a cable  a charger or any other accessory that ended up incompatible with the device it s meant for  you ll likely appreciate Google s latest   Works With   badge  The tech giant has debuted the  Works With Chromebook  logo  which can gi,Google says all accessories with the badge have been tested and are guaranteed to comply with Chromebook s compatibility standards  Thus far  the company has certified products from several famous brands  including Anker  Kensington and Logitech  Also  certif  223 chars 
Jon Fingas,Google Maps now highlights restaurants with delivery options,Google Maps is still useful for grabbing a bite to eat even in the midst of widespread COVID 19 lockdowns  it seems  Google has rolled out updates to its Android and iOS apps that highlight restaurants with delivery  and  for some reason  takeout  options   ,The feature is available now in at least the US  Canada and France  and likely other parts of the world as well  Yes  this Maps tweak is arguably a cruel reminder of all the places you can t go while you re staying at home during the pandemic  Look at it this  129 chars 
Mariella Moon,Netflix pauses production on  Stranger Things  other shows due to coronavirus,TV and media giants  including streaming services  are feeling the effects of the global coronavirus pandemic  According to The Hollywood Reporter and Deadline  Netflix has put a pause on all scripted TV and film production for two weeks in the US and Canada ,The affected shows include viewer favorite Stranger Things  which had to shut down its fourth season s production  as well as supernatural detective series Lucifer and Groundhog Day esque comedy drama Russian Doll  Shows being filmed outside the US and Canada  524 chars 
Christine Fisher,Uber Eats waives delivery fees for over 100 000 independent restaurants,In response to the coronavirus pandemic and its impact on the restaurant industry  Uber Eats is waiving delivery fees for over 100 000 independent restaurants across the US and Canada  It s the latest move by gig economy businesses like Uber  Lyft and Grubhub,Uber Eats is also launching daily marketing campaigns to promote delivery from local restaurants  especially those that are new to the app  It will allow restaurants of all sizes to opt into daily payments on all Uber Eats orders  rather than weekly billing    664 chars 
Richard Lawler,Disney  will start streaming  Frozen 2  on Sunday  three months early,In a move that feels in parts altruistic and business savvy  Disney has bumped up the Disney  streaming release date for Frozen 2 to this weekend  Many families are unexpectedly home and certainly feeling the stress of everything going on due to coronavirus  ,The press release didn t indicate exactly what time Frozen 2 will premiere on Disney  but said it will be available only in HD initially  and only in the US  Starting Tuesday March 17th  it will also come to Canada  the Netherlands  Australia and New Zealand  380 chars 
Igor Bonifacic,Amazon extends return window amid coronavirus pandemic,Amazon is temporarily extending its return policy window to help its customers during the coronavirus crisis  If you live in the US or Canada  you now have until May 31st to return any products you buy between now and April 30th through Amazon or one of the c,Amazon is temporarilyextending its return policywindow to help its customers during the coronavirus crisis  If you live in the US or Canada  you now have until May 31st to return any products you buy between now and April 30th through Amazon or one of the c  324 chars 
Marc DeAngelis,Chinese digital spying is becoming more aggressive  researchers say,FireEye  a US cybersecurity firm  says that it has seen a concerning spike in activity from what appears to be a Chinese hacking group called APT41  The attacks are being deployed against companies in the US  Canada  the UK and several other counties  which i,FireEye  a US cybersecurity firm  says that it has seen a concerning spike in activity from what appears to be a Chinese hacking group called APT41  The attacks are being deployed against companies in the US  Canada  the UK and several other counties  which i  529 chars 
Igor Bonifacic,Roku adds voice command support for Spanish in the US and Mexico,For all their many strengths  Roku devices have not had the best voice control features  If that s important to you  your best bet has frequently been Amazon s Fire TV devices  However  with its latest software update  Roku is trying to change that with more ,Spanish speakers in the US and Mexico have the most to look forward to with the new software adding voice support for their language  If you speak Spanish  you ll be able to ask your Roku device to launch apps  search for specific content and control playback  1987 chars 
